"miRNAPair","CancerTypes","Count"
"miR-1229-3p/miR-145-5p","LGG",1
"miR-1229-3p/miR-204-5p","SKCM",1
"miR-1229-3p/miR-326","THCA",1
"miR-124-3p/miR-7-5p","TGCT",1
"miR-125a-3p/miR-301a-3p","READ",1
"miR-125b-2-3p/miR-138-5p","ACC",1
"miR-196a-5p/miR-215-5p","ESCA",1
"miR-196a-5p/miR-9-5p","THYM",1
"miR-196b-5p/miR-138-5p","SKCM",1
"miR-3065-3p/miR-17-5p","THYM",1
"miR-3065-5p/miR-200a-3p","UCS",1
"miR-30a-3p/let-7b-5p","THYM",1
"miR-30a-3p/miR-125a-3p","LIHC",1
"miR-30a-3p/miR-328-3p","UVM",1
"miR-30a-3p/miR-539-5p","STAD",1
"miR-30a-5p/miR-486-5p","LIHC",1
"miR-30b-3p/miR-1226-3p","BLCA",1
"miR-500a-3p/miR-421","SARC",1
"miR-500a-3p/miR-455-3p","SARC",1
"miR-500a-5p/miR-106a-5p","UCS",1
"miR-125b-2-3p/miR-155-5p","SKCM",1
"miR-125b-2-3p/miR-223-5p","ACC",1
"miR-125b-2-3p/miR-671-5p","ESCA",1
"miR-197-3p/miR-506-3p","UVM",1
"miR-199a-3p/miR-17-5p","UCS",1
"miR-199a-3p/miR-200c-3p","THYM",1
"miR-199a-3p/miR-338-3p","TGCT",1
"miR-199a-3p/miR-410-3p","SARC",1
"miR-500b-5p/miR-500a-3p","UCS",1
"miR-501-5p/miR-378a-5p","UCS",1
"miR-502-5p/miR-20b-5p","STAD",1
"miR-503-5p/miR-15b-5p","SARC",1
"miR-503-5p/miR-450a-5p","STAD",1
"miR-505-3p/miR-19b-3p","SARC",1
"miR-505-3p/miR-29b-2-5p","SARC",1
"miR-505-5p/miR-181a-2-3p","DLBC",1
"miR-505-5p/miR-874-3p","SARC",1
"miR-506-3p/miR-204-5p","TGCT",1
"miR-507/let-7g-3p","SKCM",1
"miR-509-3-5p/miR-130a-3p","SKCM",1
"miR-509-3p/miR-218-5p","LGG",1
"miR-125b-5p/miR-142-5p","KICH",1
"miR-125b-5p/miR-376c-3p","THYM",1
