"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-16-2-3p","hsa-mir-25-3p",1316,"KLF6",4843,"NOS2",1,0,0,0.0715,0.068,0.0115,0.007,0.0293211525867714
"hsa-mir-18a-3p","hsa-mir-25-3p",1316,"KLF6",4843,"NOS2",1,0,0,0.015,0.2,0.012,0.001,0.00653841042678252
"hsa-mir-25-3p","hsa-mir-7-5p",1316,"KLF6",4843,"NOS2",1,0,5e-04,0.1125,0.0125,0.099,0.002,0.0113052008307189
"hsa-mir-25-3p","hsa-mir-93-5p",1316,"KLF6",4843,"NOS2",1,0,0,0.0035,0.011,0.075,0,0
"hsa-mir-130a-3p","hsa-mir-299-5p",3091,"HIF1A",4846,"NOS3",1,0,0.005,0.465,0.015,0.077,0.002,0.0113052008307189
"hsa-mir-130a-3p","hsa-mir-497-3p",3091,"HIF1A",4907,"NT5E",1,0,0.001,0.384,0.103,0.244,0.0035,0.0174080093312597
"hsa-mir-17-5p","hsa-mir-299-3p",3091,"HIF1A",4907,"NT5E",1,5e-04,0.002,0.0025,0.012,0.601,0.0075,0.0308290222036567
"hsa-mir-130a-3p","hsa-mir-616-5p",3091,"HIF1A",4907,"NT5E",1,0,0.0015,0.159,0.0965,0.024,0,0
"hsa-mir-18a-5p","hsa-mir-299-5p",3091,"HIF1A",4907,"NT5E",1,0.006,0.003,0,0.013,0.6315,0.002,0.0113052008307189
"hsa-mir-20b-5p","hsa-mir-497-3p",3091,"HIF1A",4914,"NTRK1",1,0,0.0015,0.613,0.2575,0.0175,0.003,0.0154572257129048
"hsa-mir-181a-5p","hsa-mir-548j-5p",1958,"EGR1",5243,"ABCB1",1,0,0.0015,0.4585,0.0315,0.15,0.003,0.0154572257129048
"hsa-let-7b-5p","hsa-mir-30a-5p",7157,"TP53",5243,"ABCB1",-1,0,5e-04,0.0045,0.3895,0.3015,0.008,0.0323407913032486
"hsa-mir-125b-5p","hsa-mir-30a-5p",7157,"TP53",5243,"ABCB1",-1,0,0,0.001,0.349,0.2705,0.001,0.00653841042678252
"hsa-mir-106a-3p","hsa-mir-16-1-3p",3091,"HIF1A",5243,"ABCB1",1,0.0015,0,0.007,0.0105,0.015,0.008,0.0323407913032486
"hsa-let-7b-5p","hsa-mir-195-3p",367,"AR",5300,"PIN1",1,0,0.004,0,0.012,0.143,0.0055,0.0244639082058414
"hsa-mir-142-5p","hsa-mir-20b-5p",4601,"MXI1",5315,"PKM",-1,0,0,0.0405,0.0165,0.2175,0,0
"hsa-mir-181a-5p","hsa-mir-181b-5p",2353,"FOS",5329,"PLAUR",1,0,0,0.002,0.025,0.0205,0.005,0.022760657604441
"hsa-mir-520a-5p","hsa-mir-525-5p",8061,"FOSL1",5329,"PLAUR",1,0,0,0.107,0.118,0.0485,0.006,0.0261531961292081
"hsa-mir-20a-5p","hsa-mir-93-5p",2355,"FOSL2",5329,"PLAUR",1,0,0,0,0.413,0.83,0.008,0.0323407913032486
"hsa-mir-130b-3p","hsa-mir-15a-5p",2355,"FOSL2",5329,"PLAUR",1,0,0,0,0.36,0.0145,0.009,0.0353088600607232
"hsa-mir-15a-5p","hsa-mir-20a-5p",2355,"FOSL2",5329,"PLAUR",1,0,0,0,0.0165,0.42,0.0015,0.00903247975899077
"hsa-mir-149-5p","hsa-mir-519d-3p",1871,"E2F3",5347,"PLK1",1,0,0.0055,0.114,0.151,0.0795,0.001,0.00653841042678252
"hsa-mir-31-3p","hsa-mir-519d-3p",1871,"E2F3",5347,"PLK1",1,0,0.005,0.6985,0.0205,0.0755,0.0025,0.0134317513649727
"hsa-mir-299-3p","hsa-mir-31-5p",3091,"HIF1A",5507,"PPP1R3C",1,5e-04,0.003,0.042,0.62,0.2915,0.0075,0.0308290222036567
"hsa-mir-195-3p","hsa-mir-31-5p",367,"AR",5528,"PPP2R5D",1,0.0055,0,0.2235,0.0475,0.271,0,0
"hsa-mir-30a-5p","hsa-mir-31-5p",367,"AR",5528,"PPP2R5D",1,0.0045,0,0.035,0.0125,0.2795,0,0
"hsa-let-7b-5p","hsa-mir-299-5p",1390,"CREM",5757,"PTMA",1,0,0,0.003,0.0595,0.3865,0,0
"hsa-let-7b-5p","hsa-mir-522-3p",1390,"CREM",5757,"PTMA",1,0,0,0.101,0.07,0.466,0,0
"hsa-mir-512-3p","hsa-mir-520a-3p",2100,"ESR2",5788,"PTPRC",1,0,0,0.002,0.045,0.024,0.0015,0.00903247975899077
"hsa-mir-512-3p","hsa-mir-519d-3p",2100,"ESR2",5788,"PTPRC",1,0,0,0.12,0.0375,0.032,5e-04,0.00368827124899088
"hsa-mir-512-3p","hsa-mir-520h",2100,"ESR2",5788,"PTPRC",1,5e-04,0,0.0685,0.048,0.045,0.004,0.0192613114507265
"hsa-mir-512-3p","hsa-mir-520c-3p",2100,"ESR2",5788,"PTPRC",1,5e-04,0.001,0.3535,0.045,0.0395,0.0015,0.00903247975899077
"hsa-mir-512-3p","hsa-mir-520d-3p",2100,"ESR2",5788,"PTPRC",1,0,0,0.027,0.043,0.0355,0,0
"hsa-mir-512-3p","hsa-mir-520g-3p",2100,"ESR2",5788,"PTPRC",1,5e-04,5e-04,0.1015,0.048,0.0325,0.0045,0.0210332127589609
"hsa-mir-519d-3p","hsa-mir-520g-3p",2100,"ESR2",5788,"PTPRC",1,5e-04,0,0.0255,0.0355,0.0465,5e-04,0.00368827124899088
"hsa-mir-519d-3p","hsa-mir-520h",2100,"ESR2",5788,"PTPRC",1,5e-04,5e-04,0.025,0.04,0.052,0,0
"hsa-mir-520a-3p","hsa-mir-520c-3p",2100,"ESR2",5788,"PTPRC",1,0,5e-04,0.003,0.0365,0.0565,0,0
"hsa-mir-519d-3p","hsa-mir-520d-3p",2100,"ESR2",5788,"PTPRC",1,0,5e-04,0.0205,0.035,0.0235,0,0
"hsa-mir-520a-3p","hsa-mir-520g-3p",2100,"ESR2",5788,"PTPRC",1,5e-04,0.001,0.007,0.0395,0.0385,0.0015,0.00903247975899077
"hsa-mir-520c-3p","hsa-mir-520d-3p",2100,"ESR2",5788,"PTPRC",1,5e-04,0,0.1865,0.044,0.0325,0,0
"hsa-mir-520c-3p","hsa-mir-520g-3p",2100,"ESR2",5788,"PTPRC",1,5e-04,0,0.2065,0.05,0.0215,0.0025,0.0134317513649727
"hsa-mir-520c-3p","hsa-mir-520h",2100,"ESR2",5788,"PTPRC",1,0,5e-04,0.355,0.045,0.031,0,0
"hsa-mir-520d-3p","hsa-mir-520g-3p",2100,"ESR2",5788,"PTPRC",1,5e-04,5e-04,0.014,0.0285,0.0345,0,0
"hsa-mir-520d-3p","hsa-mir-520h",2100,"ESR2",5788,"PTPRC",1,5e-04,5e-04,0.0145,0.0285,0.0395,0,0
"hsa-mir-519d-3p","hsa-mir-520a-3p",2100,"ESR2",5788,"PTPRC",1,0,0,0.0035,0.0365,0.026,0,0
"hsa-mir-519d-3p","hsa-mir-520c-3p",2100,"ESR2",5788,"PTPRC",1,0,0,0.25,0.041,0.0365,5e-04,0.00368827124899088
"hsa-mir-520a-3p","hsa-mir-520d-3p",2100,"ESR2",5788,"PTPRC",1,5e-04,5e-04,0,0.0275,0.0225,0,0
"hsa-mir-520g-3p","hsa-mir-520h",2100,"ESR2",5788,"PTPRC",1,0,0,0.0495,0.0325,0.0465,0.003,0.0154572257129048
"hsa-mir-3065-5p","hsa-mir-30a-3p",6667,"SP1",5966,"REL",1,0,0.0035,0.039,0.0985,0.03,5e-04,0.00368827124899088
"hsa-mir-363-3p","hsa-mir-383-5p",2627,"GATA6",5998,"RGS3",1,0,0.002,0.0125,0.017,0.4825,0.0015,0.00903247975899077
"hsa-mir-130a-3p","hsa-mir-519c-3p",3091,"HIF1A",6095,"RORA",1,0,0,0.057,0.227,0.021,0.0025,0.0134317513649727
"hsa-let-7b-5p","hsa-mir-30a-5p",7157,"TP53",6240,"RRM1",1,0,5e-04,0.0045,0.0155,0.0415,0.0045,0.0210332127589609
"hsa-mir-181a-5p","hsa-mir-181b-5p",2353,"FOS",6347,"CCL2",1,0,0,0.002,0.028,0.0335,0.009,0.0353088600607232
"hsa-mir-15a-5p","hsa-mir-93-5p",6774,"STAT3",6347,"CCL2",1,0,0,0,0.021,0.2215,0.0025,0.0134317513649727
"hsa-mir-181a-5p","hsa-mir-181b-5p",6774,"STAT3",6347,"CCL2",1,0,0,0,0.028,0.0335,0.009,0.0353088600607232
"hsa-mir-15a-5p","hsa-mir-17-5p",6774,"STAT3",6347,"CCL2",1,0,0,0,0.023,0.4555,0.009,0.0353088600607232
"hsa-mir-15a-5p","hsa-mir-18b-5p",6774,"STAT3",6347,"CCL2",1,0,0,0,0.0165,0.0195,0.007,0.0293211525867714
"hsa-mir-106a-5p","hsa-mir-15a-5p",6774,"STAT3",6347,"CCL2",1,0,0,0,0.0125,0.0245,0.003,0.0154572257129048
