miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-302a-3p,hsa-mir-302d-3p,2099,8839,1,0.0,0.0,0.0,0.0315,0.0445,0.0015,True,0.0063445044310889275
hsa-mir-302b-3p,hsa-mir-302c-3p,2099,8839,1,0.0,0.0,0.0,0.0145,0.023,0.0,True,0.0
hsa-mir-302b-3p,hsa-mir-302d-3p,2099,8839,1,0.0,0.0,0.0,0.014,0.0395,0.0025,True,0.009698536281532234
hsa-mir-302b-3p,hsa-mir-520a-3p,2099,8839,1,0.0,0.0,0.0,0.013,0.0255,0.0065,True,0.021086278288497094
hsa-mir-302c-3p,hsa-mir-302d-3p,2099,8839,1,0.0,0.0,0.0,0.015,0.069,0.0095,True,0.028517627780321467
hsa-mir-373-3p,hsa-mir-378a-3p,2099,8839,1,0.0015,0.0075,0.141,0.1705,0.536,0.0065,True,0.021086278288497094
hsa-mir-200c-3p,hsa-mir-518c-5p,2113,1441,1,0.007,0.0045,0.529,0.0105,0.306,0.007,True,0.022389359626149026
hsa-mir-519a-5p,hsa-mir-520h,2308,10365,1,0.0,0.0,0.0,0.0105,0.018,0.0,True,0.0
hsa-mir-519a-5p,hsa-mir-582-3p,2308,10365,1,0.0,0.0,0.0,0.0195,0.1485,0.0005,True,0.002452608781256153
hsa-mir-182-5p,hsa-mir-486-5p,2308,3553,1,0.0,0.0,0.333,0.1335,0.559,0.007,True,0.022389359626149026
hsa-mir-183-5p,hsa-mir-486-5p,2308,3553,1,0.0005,0.0,0.265,0.14,0.5595,0.0095,True,0.028517627780321467
hsa-mir-200c-3p,hsa-mir-517-5p,2308,3553,1,0.0,0.0,0.0,0.0155,0.163,0.0005,True,0.002452608781256153
hsa-mir-200c-3p,hsa-mir-518f-5p,2308,3553,1,0.0,0.0,0.0,0.019,0.0755,0.008,True,0.024878769722388654
hsa-mir-200c-3p,hsa-mir-519a-5p,2308,3553,1,0.0,0.0,0.0,0.0105,0.5965,0.0005,True,0.002452608781256153
hsa-mir-200c-3p,hsa-mir-520g-3p,2308,3553,1,0.0,0.0,0.0,0.0125,0.073,0.009,True,0.02734619606312657
hsa-mir-200c-3p,hsa-mir-520h,2308,3553,1,0.0,0.0,0.0,0.011,0.2355,0.0055,True,0.018412857104463973
hsa-mir-486-5p,hsa-mir-96-5p,2308,3553,1,0.001,0.0,0.204,0.528,0.049,0.0085,True,0.026125194305312245
hsa-mir-34c-3p,hsa-mir-548j-5p,2308,5468,1,0.002,0.0,0.2295,0.0145,0.036,0.002,True,0.008057438551099612
hsa-mir-130b-5p,hsa-mir-96-5p,2308,6197,1,0.0,0.0,0.0,0.278,0.0175,0.0005,True,0.002452608781256153
hsa-mir-183-5p,hsa-mir-96-5p,2308,6197,1,0.0,0.0,0.0,0.069,0.019,0.0085,True,0.026125194305312245
hsa-mir-18a-3p,hsa-mir-629-3p,2309,2099,1,0.0,0.0,0.0,0.0175,0.1395,0.0005,True,0.002452608781256153
hsa-mir-18a-3p,hsa-mir-96-5p,2309,2099,1,0.0,0.0,0.0,0.0135,0.136,0.003,True,0.011271082157075642
