"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-505-5p","hsa-mir-548b-3p",26959,"HBP1",54982,"CLN6",-1,0.0055,0.004,0.053,0.0325,0.0385,0.0065,0.0335242447396262
"hsa-mir-301a-3p","hsa-mir-378a-5p",6667,"SP1",55328,"RNLS",1,0.007,0,0.075,0.055,0.0485,0,0
"hsa-mir-181c-5p","hsa-mir-181d-5p",10009,"ZBTB33",55334,"SLC39A9",1,0,0.008,5e-04,0.0305,0.0735,0.002,0.0137497649639611
"hsa-mir-191-5p","hsa-mir-625-5p",1958,"EGR1",56034,"PDGFC",1,0,5e-04,0.0035,0.25,0.45,0.0055,0.0296346862335748
"hsa-mir-224-3p","hsa-mir-532-3p",4779,"NFE2L1",57142,"RTN4",1,0,0.0045,0.258,0.84,0.017,0.0025,0.0162755026337265
"hsa-mir-17-5p","hsa-mir-452-5p",2115,"ETV1",57188,"ADAMTSL3",1,0,0.008,0.0185,0.012,0.206,0.001,0.00786158394552947
"hsa-mir-301a-3p","hsa-mir-454-3p",4090,"SMAD5",57492,"ARID1B",1,0.002,0.002,0.0095,0.4145,0.1675,0.009,0.0424464688810061
"hsa-mir-363-3p","hsa-mir-421",1523,"CUX1",60685,"ZFAND3",1,0,0.005,0.0035,0.292,0.0185,0.0015,0.010942430792252
"hsa-mir-185-3p","hsa-mir-7-5p",861,"RUNX1",79899,"PRR5L",1,0,0,0.1475,0.015,0.046,0.009,0.0424464688810061
"hsa-mir-181c-5p","hsa-mir-181d-5p",10009,"ZBTB33",80010,"RMI1",1,0,0.008,5e-04,0.0765,0.0205,5e-04,0.00438798879887988
"hsa-mir-590-3p","hsa-mir-942-5p",7586,"ZKSCAN1",80205,"CHD9",1,0.003,0,0.0255,0.0695,0.404,0.0085,0.0407475279978148
"hsa-mir-17-5p","hsa-mir-18a-5p",4782,"NFIC",80781,"COL18A1",1,0,0,0,0.0135,0.164,0.001,0.00786158394552947
"hsa-mir-19a-3p","hsa-mir-221-5p",4782,"NFIC",80781,"COL18A1",1,0,0,0.012,0.0465,0.4685,0,0
"hsa-mir-223-5p","hsa-mir-511-5p",4782,"NFIC",80781,"COL18A1",1,5e-04,0,0.0125,0.1225,0.0875,0.005,0.0275963897100447
"hsa-mir-221-5p","hsa-mir-223-5p",4782,"NFIC",80781,"COL18A1",1,0,0.001,0.017,0.3425,0.0805,0,0
"hsa-mir-19a-3p","hsa-mir-19b-3p",7764,"ZNF217",84669,"USP32",1,0.001,0.005,0,0.0235,0.0405,0.001,0.00786158394552947
"hsa-mir-130b-3p","hsa-mir-769-3p",3205,"HOXA9",84858,"ZNF503",1,0,0,0.0195,0.198,0.014,0.0045,0.0255321026768395
"hsa-mir-19b-3p","hsa-mir-20a-5p",6925,"TCF4",90865,"IL33",1,0,0,0,0.093,0.0675,0.005,0.0275963897100447
"hsa-mir-205-5p","hsa-mir-27a-5p",4150,"MAZ",170463,"SSBP4",1,5e-04,0.0075,0.1205,0.0305,0.96,0.0035,0.021134633911368
"hsa-mir-505-5p","hsa-mir-532-3p",7975,"MAFK",201134,"CEP112",1,0,0,0.0035,0.238,0.0335,0.001,0.00786158394552947
