miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-30c-2-3p,hsa-mir-589-3p,367,7016,1,0.001,0.0,0.1045,0.014,0.141,0.0065,True,0.028436460554371
hsa-mir-2110,hsa-mir-491-5p,367,8021,1,0.0,0.003,0.001,0.073,0.2335,0.006,True,0.026780416645339613
hsa-mir-27a-5p,hsa-mir-491-5p,367,8021,1,0.0,0.002,0.081,0.057,0.175,0.0075,True,0.031661280952726745
hsa-mir-454-3p,hsa-mir-589-3p,367,8021,1,0.002,0.0,0.4815,0.0125,0.1605,0.0015,True,0.00926164766692629
hsa-mir-223-5p,hsa-mir-491-5p,367,81563,1,0.0,0.002,0.0025,0.042,0.0415,0.0,True,0.0
hsa-mir-183-5p,hsa-mir-381-3p,367,8228,1,0.0005,0.0,0.0005,0.013,0.1035,0.003,True,0.01587935900937813
hsa-mir-185-5p,hsa-mir-454-3p,367,8228,1,0.0,0.0025,0.0005,0.0185,0.0135,0.0,True,0.0
hsa-mir-2110,hsa-mir-454-3p,367,8228,1,0.0,0.001,0.128,0.0985,0.015,0.001,True,0.006677502105827398
hsa-mir-223-5p,hsa-mir-454-3p,367,8228,1,0.0,0.004,0.1455,0.139,0.0155,0.0065,True,0.028436460554371
hsa-mir-27a-5p,hsa-mir-454-3p,367,8228,1,0.0,0.005,0.036,0.062,0.0185,0.0035,True,0.01787491581012621
hsa-mir-2110,hsa-mir-223-5p,367,901,1,0.0,0.0,0.192,0.452,0.021,0.003,True,0.01587935900937813
hsa-mir-223-5p,hsa-mir-381-3p,367,901,1,0.0,0.0,0.0725,0.016,0.148,0.004,True,0.019795465508924266
hsa-mir-221-3p,hsa-mir-222-3p,405,5789,1,0.0095,0.0075,0.006,0.0245,0.0125,0.005,True,0.023416713660409788
hsa-mir-146a-5p,hsa-mir-221-5p,4089,1030,1,0.0,0.0,0.0195,0.072,0.012,0.0025,True,0.013825707128361238
hsa-mir-19b-1-5p,hsa-mir-27a-5p,4089,1030,1,0.001,0.0,0.0315,0.1055,0.0845,0.001,True,0.006677502105827398
hsa-mir-20a-5p,hsa-mir-92a-3p,4089,1030,1,0.0095,0.0,0.073,0.841,0.0395,0.005,True,0.023416713660409788
hsa-mir-221-5p,hsa-mir-34c-5p,4089,1030,1,0.0,0.0085,0.0575,0.016,0.1465,0.0035,True,0.01787491581012621
hsa-mir-27a-5p,hsa-mir-92a-3p,4089,1030,1,0.0,0.0,0.005,0.0295,0.0445,0.0025,True,0.013825707128361238
hsa-mir-125a-3p,hsa-mir-92a-3p,4089,1294,1,0.0,0.0,0.0085,0.0115,0.0425,0.009,True,0.036198215026982145
hsa-mir-130a-3p,hsa-mir-144-5p,4089,1294,1,0.0,0.0075,0.0365,0.0635,0.0375,0.006,True,0.026780416645339613
hsa-mir-130a-3p,hsa-mir-182-5p,4089,1294,1,0.0,0.001,0.004,0.1045,0.018,0.002,True,0.011619894729828769
hsa-mir-130b-3p,hsa-mir-324-3p,4089,1294,1,0.0,0.0,0.0,0.3775,0.1245,0.0035,True,0.01787491581012621
hsa-mir-17-5p,hsa-mir-324-3p,4089,1294,1,0.0,0.0,0.0485,0.0875,0.1235,0.0055,True,0.02511300921562467
hsa-mir-183-5p,hsa-mir-324-3p,4089,1294,1,0.0,0.0,0.0165,0.013,0.109,0.0085,True,0.03471397292993631
hsa-mir-19b-3p,hsa-mir-92a-3p,4089,1294,1,0.0,0.0,0.0005,0.016,0.0275,0.003,True,0.01587935900937813
hsa-mir-616-5p,hsa-mir-92a-3p,4089,1294,1,0.0005,0.0,0.1805,0.0215,0.031,0.0015,True,0.00926164766692629
hsa-mir-106a-5p,hsa-mir-338-3p,4089,862,1,0.0005,0.0,0.11,0.038,0.028,0.0025,True,0.013825707128361238
