"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-let-7c-5p","hsa-mir-17-3p",6774,"STAT3",604,"BCL6",1,0.004,0,0,0.015,0.26,0,0
"hsa-let-7c-5p","hsa-mir-181a-5p",6774,"STAT3",604,"BCL6",1,0.002,0.0025,5e-04,0.0195,0.0265,5e-04,0.00375108616165526
"hsa-let-7c-5p","hsa-mir-181b-5p",6774,"STAT3",604,"BCL6",1,0.0045,0.0075,0.02,0.0165,0.0505,0,0
"hsa-mir-181a-5p","hsa-mir-181b-5p",6774,"STAT3",604,"BCL6",1,0.0055,0.005,0.001,0.038,0.0645,0.002,0.0116198947298288
"hsa-let-7c-5p","hsa-mir-17-5p",6774,"STAT3",604,"BCL6",1,0.0015,0,0.0015,0.026,0.345,0,0
"hsa-mir-148a-3p","hsa-mir-181b-5p",6774,"STAT3",604,"BCL6",1,0,0.0055,5e-04,0.012,0.023,0,0
"hsa-let-7e-5p","hsa-mir-130b-3p",6774,"STAT3",604,"BCL6",1,0.0075,0,0.8925,0.29,0.011,0.0095,0.0376706038834068
"hsa-mir-34a-5p","hsa-mir-502-3p",6774,"STAT3",604,"BCL6",1,0.0015,0.006,0.007,0.353,0.166,0.001,0.00667750210582739
"hsa-mir-181a-5p","hsa-mir-18a-5p",6774,"STAT3",604,"BCL6",1,0.0035,0,0.0195,0.0315,0.1185,0.003,0.0158793590093781
"hsa-mir-130b-3p","hsa-mir-181a-5p",6774,"STAT3",604,"BCL6",1,0,0.004,0.0575,0.0255,0.025,0.005,0.0234167136604098
"hsa-mir-181a-5p","hsa-mir-362-3p",6774,"STAT3",604,"BCL6",1,0.0065,0,0.0225,0.044,0.0185,0.001,0.00667750210582739
"hsa-mir-181a-5p","hsa-mir-590-3p",6774,"STAT3",604,"BCL6",1,0.006,0,0.2565,0.013,0.0255,0.0025,0.0138257071283612
"hsa-mir-362-3p","hsa-mir-501-3p",6774,"STAT3",604,"BCL6",1,0,0,0,0.019,0.015,0.005,0.0234167136604098
"hsa-mir-17-3p","hsa-mir-181a-5p",6774,"STAT3",604,"BCL6",1,0,0.008,0.0585,0.2915,0.018,0,0
"hsa-let-7c-5p","hsa-mir-20a-3p",6774,"STAT3",604,"BCL6",1,0.004,0,0,0.0215,0.066,0,0
"hsa-let-7c-5p","hsa-mir-20a-5p",6774,"STAT3",604,"BCL6",1,5e-04,0,0.007,0.028,0.791,5e-04,0.00375108616165526
"hsa-mir-17-5p","hsa-mir-181b-5p",6774,"STAT3",604,"BCL6",1,0,0.0075,0.0595,0.3365,0.0365,0.003,0.0158793590093781
"hsa-mir-18a-5p","hsa-mir-196b-5p",6774,"STAT3",604,"BCL6",1,0,0.001,0.0335,0.137,0.011,0.0095,0.0376706038834068
"hsa-mir-18a-5p","hsa-mir-20a-3p",6774,"STAT3",604,"BCL6",1,0,0,0,0.1545,0.0635,0.0065,0.028436460554371
"hsa-mir-106b-5p","hsa-mir-18a-5p",6774,"STAT3",604,"BCL6",1,0,0,0,0.012,0.17,0.0065,0.028436460554371
"hsa-mir-106b-5p","hsa-mir-20a-3p",6774,"STAT3",604,"BCL6",1,0,0,0.1075,0.0135,0.059,0,0
"hsa-mir-106b-5p","hsa-mir-34a-5p",6774,"STAT3",604,"BCL6",1,0,0.0035,0.01,0.0185,0.3375,0.0035,0.0178749158101262
"hsa-mir-181a-5p","hsa-mir-21-3p",6774,"STAT3",604,"BCL6",1,0.0045,0.0015,0.021,0.0295,0.0315,0.0015,0.00926164766692629
"hsa-mir-17-3p","hsa-mir-181b-5p",6774,"STAT3",604,"BCL6",1,0,0.008,0.1705,0.2965,0.0225,0.0055,0.0251130092156247
"hsa-mir-181a-5p","hsa-mir-21-5p",6774,"STAT3",604,"BCL6",1,0.005,0,0.001,0.018,0.023,0.003,0.0158793590093781
"hsa-mir-148a-3p","hsa-mir-20a-3p",6774,"STAT3",604,"BCL6",1,0,0,5e-04,0.022,0.042,0.0025,0.0138257071283612
"hsa-mir-181b-5p","hsa-mir-21-3p",6774,"STAT3",604,"BCL6",1,0.0035,0.0025,0.0415,0.0215,0.028,0.0035,0.0178749158101262
"hsa-mir-181a-5p","hsa-mir-20a-5p",6774,"STAT3",604,"BCL6",1,0.004,5e-04,0.1275,0.031,0.7725,0,0
"hsa-let-7c-5p","hsa-mir-18a-5p",6774,"STAT3",604,"BCL6",1,0.002,0,5e-04,0.0215,0.175,0.003,0.0158793590093781
