miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-130b-3p,hsa-mir-429,6935,11187,-1,0.0,0.0,0.0,0.032,0.019,0.0,True,0.0
hsa-mir-148b-5p,hsa-mir-193b-5p,6938,3709,1,0.0,0.001,0.01,0.09,0.7975,0.0085,True,0.04074752799781481
hsa-mir-155-5p,hsa-mir-7-5p,6938,5362,1,0.0,0.0,0.0005,0.34,0.024,0.001,True,0.007861583945529476
hsa-mir-10a-3p,hsa-mir-362-5p,7003,6711,1,0.001,0.0,0.3095,0.393,0.0265,0.0095,True,0.044175427905251446
hsa-let-7c-5p,hsa-mir-214-3p,7020,4832,1,0.0,0.001,0.231,0.0865,0.2645,0.0005,True,0.004387988798879888
hsa-mir-149-5p,hsa-mir-590-3p,7025,10783,1,0.0,0.0,0.24,0.015,0.0395,0.004,True,0.02337377638676167
hsa-mir-136-5p,hsa-mir-26b-3p,7376,6720,1,0.0,0.0,0.0105,0.2015,0.1375,0.0085,True,0.04074752799781481
hsa-mir-136-5p,hsa-mir-939-5p,7376,6720,1,0.0,0.0,0.511,0.1925,0.0135,0.0005,True,0.004387988798879888
hsa-mir-130a-3p,hsa-mir-142-3p,7572,29886,-1,0.0035,0.005,0.0,0.8815,0.095,0.006,True,0.031599207778177894
hsa-mir-590-3p,hsa-mir-942-5p,7586,80205,1,0.003,0.0,0.0255,0.0695,0.404,0.0085,True,0.04074752799781481
hsa-mir-130a-3p,hsa-mir-29b-1-5p,7764,256987,1,0.007,0.0035,0.008,0.2755,0.323,0.0065,True,0.03352424473962619
hsa-mir-19a-3p,hsa-mir-19b-3p,7764,84669,1,0.001,0.005,0.0,0.0235,0.0405,0.001,True,0.007861583945529476
