"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-335-3p","hsa-mir-550a-3p",4782,"NFIC",3725,"JUN",1,0,0,5e-04,0.4435,0.053,0.0015,0.00497708682885906
"hsa-mir-335-3p","hsa-mir-624-5p",4782,"NFIC",3725,"JUN",1,0,0,0.003,0.4355,0.013,0,0
"hsa-mir-550a-3p","hsa-mir-550a-5p",4782,"NFIC",3725,"JUN",1,0,0,0,0.0505,0.0865,0.002,0.00636012784176566
"hsa-mir-335-3p","hsa-mir-629-3p",4782,"NFIC",3725,"JUN",1,0,0,0,0.443,0.205,5e-04,0.00189985829570563
"hsa-mir-339-5p","hsa-mir-550a-3p",4782,"NFIC",3725,"JUN",1,0.0015,0,0,0.015,0.047,0.0045,0.0125888120667704
"hsa-mir-342-5p","hsa-mir-92b-5p",4782,"NFIC",3725,"JUN",1,0.009,0.0015,0.2455,0.592,0.273,0.0075,0.0192214077433987
"hsa-mir-210-3p","hsa-mir-339-5p",4782,"NFIC",3725,"JUN",1,0,0.001,0.011,0.052,0.0205,0.009,0.0223565663861324
"hsa-mir-550a-3p","hsa-mir-629-3p",4782,"NFIC",3725,"JUN",1,0,0,0,0.0545,0.1585,0.007,0.0181534817389024
"hsa-mir-550a-3p","hsa-mir-939-5p",4782,"NFIC",3725,"JUN",1,0,0,0.0805,0.0475,0.1475,0.0085,0.0213281919111816
"hsa-mir-19a-3p","hsa-mir-92b-5p",4782,"NFIC",3725,"JUN",1,0,0.001,0.0105,0.0385,0.304,0.002,0.00636012784176566
"hsa-mir-30b-3p","hsa-mir-550a-3p",4782,"NFIC",3725,"JUN",1,0,0,0.0015,0.876,0.061,0.005,0.0137450043440487
"hsa-mir-19a-3p","hsa-mir-335-3p",2099,"ESR1",3725,"JUN",1,0,0,0,0.023,0.4475,0.006,0.0160013148578942
"hsa-mir-31-5p","hsa-mir-339-5p",4782,"NFIC",3725,"JUN",1,0.0025,0.0015,0.022,0.047,0.015,0.007,0.0181534817389024
"hsa-mir-31-5p","hsa-mir-550a-3p",4782,"NFIC",3725,"JUN",1,0.0035,0,0,0.0345,0.0755,5e-04,0.00189985829570563
"hsa-mir-19a-3p","hsa-mir-19b-1-5p",4205,"MEF2A",3725,"JUN",1,0,0,0,0.025,0.115,0,0
