source;target
mir-27a-3p;mir-27a-3p/mir-17-5p
mir-27a-3p;mir-27a-3p/mir-18a-3p
mir-130a-3p;mir-130a-3p/mir-182-5p
mir-592;mir-592/mir-22-5p
mir-671-5p;mir-671-5p/mir-221-5p
mir-145-5p;mir-145-5p/mir-582-3p
mir-195-5p;mir-195-5p/mir-374a-3p
mir-93-5p;mir-93-5p/mir-873-5p
mir-19a-3p;mir-19a-3p/mir-328-3p
mir-296-5p;mir-296-5p/mir-940
mir-1287-5p;mir-1287-5p/mir-125b-5p
mir-145-5p;mir-145-5p/let-7g-3p
mir-103a-2-5p;mir-103a-2-5p/mir-125b-5p
mir-195-5p;mir-195-5p/mir-342-3p
mir-3605-3p;mir-3605-3p/mir-338-3p
mir-1296-5p;mir-1296-5p/mir-31-5p
mir-940;mir-940/mir-2110
mir-1228-3p;mir-1228-3p/mir-7-1-3p
mir-9-5p;mir-9-5p/mir-34a-5p
mir-19b-3p;mir-19b-3p/mir-9-5p
mir-19b-1-5p;mir-19b-1-5p/mir-9-3p
mir-9-5p;mir-9-5p/mir-19b-1-5p
mir-34a-5p;mir-34a-5p/mir-9-3p
mir-93-5p;mir-93-5p/mir-17-5p
mir-142-5p;mir-142-5p/mir-340-5p
mir-211-5p;mir-211-5p/mir-193b-3p
mir-29a-3p;mir-29a-3p/mir-29c-3p
mir-629-3p;mir-629-3p/mir-30b-3p
mir-513a-5p;mir-513a-5p/mir-150-5p
let-7c-5p;let-7c-5p/mir-455-5p
mir-196a-5p;mir-196a-5p/mir-125b-5p
mir-432-5p;mir-432-5p/mir-582-5p
mir-93-5p;mir-93-5p/mir-17-5p
mir-138-5p;mir-138-5p/mir-20b-5p
mir-93-5p;mir-93-5p/mir-17-5p
mir-138-5p;mir-138-5p/mir-106a-5p
mir-511-5p;mir-511-5p/mir-32-5p
mir-1229-3p;mir-1229-3p/mir-671-3p
mir-30c-5p;mir-30c-5p/mir-7-5p
mir-497-5p;mir-497-5p/mir-93-3p
mir-940;mir-940/mir-221-5p
mir-34a-5p;mir-34a-5p/let-7g-3p
mir-328-3p;mir-328-3p/mir-34a-5p
mir-93-3p;mir-93-3p/mir-708-3p
mir-9-5p;mir-9-5p/mir-330-5p
mir-765;mir-765/mir-940
mir-508-3p;mir-508-3p/mir-514b-5p
mir-185-3p;mir-185-3p/mir-29a-5p
mir-485-3p;mir-485-3p/mir-27a-3p
mir-495-3p;mir-495-3p/mir-27a-3p
mir-1229-3p;mir-1229-3p/mir-204-5p
mir-200b-3p;mir-200b-3p/mir-211-5p
mir-145-3p;mir-145-3p/mir-27a-3p
mir-485-3p;mir-485-3p/mir-548v
mir-548v;mir-548v/mir-542-5p
mir-193a-3p;mir-193a-3p/mir-16-2-3p
mir-25-5p;mir-25-5p/mir-658
mir-142-5p;mir-142-5p/mir-652-3p
mir-7-5p;mir-7-5p/mir-145-3p
mir-106a-5p;mir-106a-5p/mir-654-3p
mir-296-5p;mir-296-5p/mir-3605-3p
mir-101-5p;mir-101-5p/mir-135b-5p
mir-7-1-3p;mir-7-1-3p/mir-199b-5p
mir-2355-5p;mir-2355-5p/mir-214-5p
mir-339-5p;mir-339-5p/mir-625-5p
mir-27b-3p;mir-27b-3p/mir-22-5p
mir-155-5p;mir-155-5p/mir-22-5p
mir-27b-5p;mir-27b-5p/mir-22-5p
mir-1-3p;mir-1-3p/mir-143-3p
mir-654-3p;mir-654-3p/mir-20b-5p
mir-34b-3p;mir-34b-3p/mir-30c-2-3p
mir-18a-3p;mir-18a-3p/mir-377-5p
mir-193b-3p;mir-193b-3p/let-7a-3p
mir-193b-3p;mir-193b-3p/mir-132-5p
mir-642a-5p;mir-642a-5p/mir-330-5p
mir-143-5p;mir-143-5p/mir-27a-3p
mir-3662;mir-3662/mir-3614-3p
mir-320d;mir-320d/mir-195-5p
mir-214-3p;mir-214-3p/mir-141-3p
mir-20b-5p;mir-20b-5p/mir-513a-3p
mir-103a-2-5p;mir-103a-2-5p/mir-125b-5p
mir-324-5p;mir-324-5p/mir-455-3p
mir-339-5p;mir-339-5p/mir-455-3p
mir-497-5p;mir-497-5p/mir-503-5p
mir-340-5p;mir-340-5p/mir-9-3p
mir-99a-5p;mir-99a-5p/mir-100-5p
mir-199b-5p;mir-199b-5p/mir-450b-5p
mir-339-3p;mir-339-3p/mir-940
mir-29a-3p;mir-29a-3p/mir-335-5p
mir-2355-5p;mir-2355-5p/mir-19b-3p
mir-1271-5p;mir-1271-5p/mir-181c-5p
mir-181c-5p;mir-181c-5p/mir-29c-3p
mir-23b-3p;mir-23b-3p/mir-155-5p
mir-155-5p;mir-155-5p/mir-628-3p
mir-155-5p;mir-155-5p/mir-27b-3p
mir-139-5p;mir-139-5p/mir-141-5p
mir-125b-5p;mir-125b-5p/mir-142-3p
mir-150-5p;mir-150-5p/mir-508-5p
mir-93-5p;mir-93-5p/mir-21-3p
mir-29a-3p;mir-29a-3p/mir-335-5p
mir-7-5p;mir-7-5p/mir-181c-5p
mir-154-5p;mir-154-5p/mir-181c-5p
mir-20a-5p;mir-20a-5p/mir-106a-5p
mir-1287-5p;mir-1287-5p/mir-326
mir-760;mir-760/mir-3605-3p
mir-1287-5p;mir-1287-5p/mir-125b-5p
mir-708-5p;mir-708-5p/mir-125b-5p
mir-629-3p;mir-629-3p/mir-301a-3p
mir-211-5p;mir-211-5p/mir-17-5p
mir-29a-3p;mir-29a-3p/mir-335-5p
mir-335-3p;mir-335-3p/mir-29a-3p
mir-342-3p;mir-342-3p/mir-340-5p
mir-330-5p;mir-330-5p/mir-501-3p
mir-191-3p;mir-191-3p/mir-125b-5p
mir-27a-3p;mir-27a-3p/mir-141-3p
mir-497-5p;mir-497-5p/mir-141-3p
mir-143-5p;mir-143-5p/mir-2355-5p
mir-29c-3p;mir-29c-3p/mir-340-5p
mir-7-5p;mir-7-5p/mir-29c-3p
mir-29c-3p;mir-29c-3p/mir-203a-3p
mir-27a-3p;mir-27a-3p/mir-30c-5p
mir-142-5p;mir-142-5p/mir-34c-5p
mir-130a-3p;mir-130a-3p/mir-155-5p
mir-93-5p;mir-93-5p/mir-17-5p
mir-20a-5p;mir-20a-5p/mir-93-3p
mir-218-5p;mir-218-5p/mir-20a-5p
mir-125b-5p;mir-125b-5p/mir-93-3p
mir-17-5p;mir-17-5p/mir-93-3p
mir-103a-2-5p;mir-103a-2-5p/mir-192-5p
mir-377-5p;mir-377-5p/mir-1-3p
mir-19b-3p;mir-19b-3p/mir-145-5p
mir-183-5p;mir-183-5p/mir-514b-5p
mir-15b-3p;mir-15b-3p/mir-369-3p
mir-103a-2-5p;mir-103a-2-5p/mir-106a-5p
mir-200b-3p;mir-200b-3p/mir-135b-5p
mir-200b-3p;mir-200b-3p/mir-193b-3p
mir-193b-3p;mir-193b-3p/mir-205-5p
mir-135b-5p;mir-135b-5p/mir-200c-3p
mir-503-5p;mir-503-5p/mir-149-5p
mir-497-5p;mir-497-5p/mir-503-5p
mir-324-3p;mir-324-3p/mir-326
mir-511-5p;mir-511-5p/mir-125b-5p
mir-149-5p;mir-149-5p/mir-424-5p
mir-31-5p;mir-31-5p/mir-222-5p
mir-27a-3p;mir-27a-3p/mir-324-5p
mir-509-5p;mir-509-5p/mir-3913-5p
mir-93-5p;mir-93-5p/mir-17-5p
