"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
28962,"OSTM1","hsa-mir-106a-5p","hsa-mir-17-5p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.187904761904762,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
29959,"NRBP1","hsa-mir-30b-5p","hsa-mir-20b-5p",0.007,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.336853658536585,FALSE,"miR-30-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-30b,hsa-mir-30d","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
30000,"TNPO2","hsa-mir-150-5p","hsa-mir-345-5p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31407831'>PubMedLink</a>","tarbase","tarbase",0.343683870967742,FALSE,"miR-150-5p","miR-345-5p","hsa-mir-150","hsa-mir-345"
30000,"TNPO2","hsa-mir-296-5p","hsa-mir-505-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31407831'>PubMedLink</a>","tarbase","tarbase",0.251872340425532,FALSE,"miR-296-5p","miR-505-5p","hsa-mir-296,hsa-mir-298","hsa-mir-505"
51479,"ANKFY1","hsa-mir-9-5p","hsa-mir-204-5p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.187904761904762,FALSE,"miR-9-5p","miR-204-5p/211-5p","hsa-mir-9-1","hsa-mir-204"
51559,"NT5DC3","hsa-mir-34a-3p","hsa-mir-505-5p",0,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0,TRUE,"miR-34a-3p","miR-505-5p","hsa-mir-34a","hsa-mir-505"
54149,"C21orf91","hsa-mir-30b-5p","hsa-mir-624-5p",0.009,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.343683870967742,FALSE,"miR-30-5p","miR-624-5p","hsa-mir-30b,hsa-mir-30d","hsa-mir-624"
54726,"OTUD4","hsa-mir-331-5p","hsa-mir-183-5p",0.007,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.336853658536585,FALSE,"miR-331-5p",NA,"hsa-mir-331,hsa-mir-3685","hsa-mir-182,hsa-mir-96,hsa-mir-183"
54880,"BCOR","hsa-mir-30b-5p","hsa-mir-182-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28440018'>PubMedLink</a>","tarbase","tarbase",0.341891696750903,FALSE,"miR-30-5p","miR-182-5p","hsa-mir-30b,hsa-mir-30d","hsa-mir-182,hsa-mir-96,hsa-mir-183"
54880,"BCOR","hsa-mir-505-5p","hsa-mir-296-3p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28440018'>PubMedLink</a>","tarbase","tarbase",0.187904761904762,FALSE,"miR-505-5p","miR-296-3p","hsa-mir-505","hsa-mir-296,hsa-mir-298"
