"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
10642,"IGF2BP1","hsa-mir-224-5p","hsa-mir-615-3p",0.0055,FALSE,NA,"tarbase","mirtarbase",0.0159624263261297,TRUE,"miR-224-5p","miR-615-3p","hsa-mir-224,hsa-mir-452","hsa-mir-615"
10725,"NFAT5","hsa-mir-519c-3p","hsa-mir-183-5p",0.0085,TRUE,NA,"mirtarbase","tarbase",0.022739498968761,TRUE,"miR-519-3p",NA,"hsa-mir-515-1,hsa-mir-519e,hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b","hsa-mir-182,hsa-mir-96,hsa-mir-183"
10797,"MTHFD2","hsa-mir-136-5p","hsa-mir-1224-5p",0,FALSE,NA,"tarbase","tarbase",0,TRUE,"miR-136-5p","miR-1224-5p","hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136","hsa-mir-1224"
10955,"SERINC3","hsa-mir-500b-5p","hsa-mir-216a-5p",0.007,FALSE,NA,"tarbase","tarbase",0.0194253287413901,TRUE,"miR-500a-5p","miR-216a-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502","hsa-mir-217,hsa-mir-216a"
11057,"ABHD2","hsa-mir-195-5p","hsa-mir-629-3p",0.0035,FALSE,NA,"mirtarbase","mirtarbase",0.0109884585866934,TRUE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-629-3p","hsa-mir-195,hsa-mir-497","hsa-mir-629"
11067,"DEPP1","hsa-mir-449a","hsa-mir-141-5p",5e-04,FALSE,NA,"tarbase","mirtarbase",0.00205864591801184,TRUE,"miR-34-5p/449-5p","miR-141-5p","hsa-mir-449a,hsa-mir-449b,hsa-mir-449c","hsa-mir-200c,hsa-mir-141"
11078,"TRIOBP","hsa-mir-296-3p","hsa-mir-302b-3p",0,FALSE,NA,"mirtarbase","mirtarbase",0,TRUE,"miR-296-3p","miR-302-3p/372-3p/373-3p/520-3p","hsa-mir-296,hsa-mir-298","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
11078,"TRIOBP","hsa-mir-296-3p","hsa-mir-302d-3p",0,FALSE,NA,"mirtarbase","mirtarbase",0,TRUE,"miR-296-3p","miR-302-3p/372-3p/373-3p/520-3p","hsa-mir-296,hsa-mir-298","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
11078,"TRIOBP","hsa-mir-302c-3p","hsa-mir-296-3p",0.001,FALSE,NA,"mirtarbase","mirtarbase",0.0037967444849004,TRUE,NA,"miR-296-3p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b","hsa-mir-296,hsa-mir-298"
22806,"IKZF3","hsa-mir-665","hsa-mir-149-3p",0.0055,TRUE,NA,"mirtarbase","mirtarbase",0.0159624263261297,TRUE,"miR-665","miR-149-3p/4728-5p/6785-5p/6883-5p","hsa-mir-493,hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136","hsa-mir-149"
22824,"HSPA4L","hsa-mir-1185-5p","hsa-mir-450b-5p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/11389747'>PubMedLink</a>","mirtarbase","tarbase",0.0122734825755827,TRUE,"miR-1185-5p","miR-450b-5p","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
22824,"HSPA4L","hsa-mir-889-3p","hsa-mir-302c-3p",0.009,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/11389747'>PubMedLink</a>","mirtarbase","mirtarbase",0.023827799074028,TRUE,"miR-889-3p",NA,"hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
22903,"BTBD3","hsa-mir-31-5p","hsa-mir-548d-3p",0.007,FALSE,NA,"tarbase","mirtarbase",0.0194253287413901,TRUE,"miR-31-5p","miR-548ac/548bb-3p/548d-3p/548h-3p/548z","hsa-mir-31","hsa-mir-548aa-1,hsa-mir-548d-1"
23008,"KLHDC10","hsa-mir-18b-5p","hsa-mir-31-5p",0.0095,FALSE,NA,"tarbase","mirtarbase",0.0248931782907541,TRUE,"miR-18-5p","miR-31-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-31"
23049,"SMG1","hsa-mir-1271-5p","hsa-mir-141-3p",0,FALSE,NA,"tarbase","tarbase",0,TRUE,"miR-96-5p/1271-5p","miR-141-3p/200a-3p","hsa-mir-1271","hsa-mir-200c,hsa-mir-141"
23049,"SMG1","hsa-mir-548j-5p","hsa-mir-130b-3p",0.001,FALSE,NA,"mirtarbase","tarbase",0.0037967444849004,TRUE,"miR-548ay-5p/548au-5p/548as-5p/548ar-5p/548aq-5p/548ap-5p/548am-5p/548ae-5p/548ad-5p/548a-5p/548ak/548ab/548bb-5p/548b-5p/548c-5p/548d-5p/548h-5p/548i/548j-5p/548o-5p/548w/548y/559","miR-130-3p/301-3p/454-3p","hsa-mir-548j","hsa-mir-301b,hsa-mir-130b"
