"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
10758,"TRAF3IP2","hsa-mir-411-5p","hsa-mir-17-5p",0,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0,TRUE,NA,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
10787,"NCKAP1","hsa-mir-218-5p","hsa-mir-30a-3p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.113626530612245,FALSE,"miR-218-5p","miR-30-3p","hsa-mir-218-1","hsa-mir-30a"
10885,"WDR3","hsa-mir-21-5p","hsa-let-7b-5p",0.005,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.178451923076923,FALSE,"miR-21-5p/590-5p","let-7-5p/98-5p","hsa-mir-21","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b"
10957,"PNRC1","hsa-mir-421","hsa-mir-138-5p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase",0.152539726027397,FALSE,"miR-421","miR-138-5p","hsa-mir-421,hsa-mir-374b,hsa-mir-374c","hsa-mir-138-2"
10957,"PNRC1","hsa-mir-550a-5p","hsa-mir-130b-3p",0.0075,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.204996318114875,FALSE,"miR-550a-3-5p/550a-5p/1271-3p","miR-130-3p/301-3p/454-3p","hsa-mir-550a-1,hsa-mir-550b-1","hsa-mir-301b,hsa-mir-130b"
11278,"KLF12","hsa-mir-502-5p","hsa-mir-182-5p",0.005,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30482501'>PubMedLink</a>","tarbase","tarbase",0.178451923076923,FALSE,"miR-502-5p","miR-182-5p","hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502","hsa-mir-182,hsa-mir-96,hsa-mir-183"
11315,"PARK7","hsa-mir-758-3p","hsa-mir-130a-3p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.211746979865772,FALSE,"miR-758-3p","miR-130-3p/301-3p/454-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495","hsa-mir-130a"
22807,"IKZF2","hsa-mir-130b-5p","hsa-mir-301b-3p",5e-04,TRUE,NA,NA,NA,"mirtarbase","tarbase",0.0677335766423358,FALSE,"miR-130b-5p","miR-130-3p/301-3p/454-3p","hsa-mir-301b,hsa-mir-130b","hsa-mir-301b,hsa-mir-130b"
22879,"MON1B","hsa-mir-329-3p","hsa-mir-362-3p",0.003,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.152539726027397,FALSE,"miR-329-3p/362-3p","miR-329-3p/362-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
22884,"WDR37","hsa-mir-744-5p","hsa-mir-23a-5p",0.004,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.164968888888889,FALSE,"miR-744-5p","miR-23-5p","hsa-mir-744","hsa-mir-24-2,hsa-mir-27a,hsa-mir-23a"
22903,"BTBD3","hsa-mir-182-5p","hsa-mir-450b-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.211746979865772,FALSE,"miR-182-5p","miR-450b-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
22903,"BTBD3","hsa-mir-543","hsa-mir-182-5p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24699721'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.164968888888889,FALSE,"miR-543","miR-182-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300","hsa-mir-182,hsa-mir-96,hsa-mir-183"
22982,"DIP2C","hsa-mir-20a-5p","hsa-mir-7-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.17326867219917,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-7-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-7-1"
23035,"PHLPP2","hsa-mir-628-3p","hsa-mir-338-5p",0.009,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.216923376623377,FALSE,"miR-628-3p","miR-338-5p","hsa-mir-628","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
23089,"PEG10","hsa-mir-34b-3p","hsa-mir-23a-5p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.185253176043557,FALSE,"miR-34b-3p","miR-23-5p","hsa-mir-34b,hsa-mir-34c","hsa-mir-24-2,hsa-mir-27a,hsa-mir-23a"
23089,"PEG10","hsa-mir-34c-3p","hsa-mir-23a-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.143645510835913,FALSE,"miR-34c-3p","miR-23-5p","hsa-mir-34b,hsa-mir-34c","hsa-mir-24-2,hsa-mir-27a,hsa-mir-23a"
23095,"KIF1B","hsa-mir-30a-5p","hsa-mir-9-5p",0.007,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.202356697819315,FALSE,"miR-30-5p","miR-9-5p","hsa-mir-30a","hsa-mir-9-1"
23112,"TNRC6B","hsa-mir-320d","hsa-mir-130a-3p",0.003,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.152539726027397,FALSE,"miR-320","miR-130-3p/301-3p/454-3p","hsa-mir-320d-1","hsa-mir-130a"
23158,"TBC1D9","hsa-mir-532-5p","hsa-mir-182-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16047355'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17300681'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24100466'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8847137'>PubMedLink</a>","tarbase","tarbase",0.124976430976431,FALSE,"miR-532-5p","miR-182-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b","hsa-mir-182,hsa-mir-96,hsa-mir-183"
23163,"GGA3","hsa-mir-196a-5p","hsa-mir-214-5p",0.0015,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.113626530612245,FALSE,"miR-196-5p","miR-214-5p","hsa-mir-196a-1","hsa-mir-214,hsa-mir-3120,hsa-mir-199a-2"
23167,"EFR3A","hsa-mir-92b-3p","hsa-mir-18a-5p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",0.216923376623377,FALSE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-18-5p","hsa-mir-92b","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
23225,"NUP210","hsa-mir-1-3p","hsa-mir-424-5p",5e-04,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.0677335766423358,FALSE,"miR-1-3p/206","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-133a-1,hsa-mir-1-2","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
23231,"SEL1L3","hsa-mir-130a-3p","hsa-mir-301b-3p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.202356697819315,FALSE,"miR-130-3p/301-3p/454-3p","miR-130-3p/301-3p/454-3p","hsa-mir-130a","hsa-mir-301b,hsa-mir-130b"
23244,"PDS5A","hsa-mir-376b-3p","hsa-mir-218-5p",0,FALSE,NA,NA,NA,"mirtarbase","tarbase",0,TRUE,"miR-376-3p","miR-218-5p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655","hsa-mir-218-1"
23321,"TRIM2","hsa-mir-369-3p","hsa-mir-410-3p",0.002,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.124976430976431,FALSE,"miR-369-3p","miR-410-3p","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
23321,"TRIM2","hsa-mir-369-3p","hsa-mir-411-5p",0.0045,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.17326867219917,FALSE,"miR-369-3p",NA,"hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
23321,"TRIM2","hsa-mir-369-3p","hsa-mir-655-3p",0.0045,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.17326867219917,FALSE,"miR-369-3p","miR-655-3p","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b"
23321,"TRIM2","hsa-mir-379-3p","hsa-mir-410-3p",0.0075,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.204996318114875,FALSE,"miR-411-3p","miR-410-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
