"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
64393,"ZMAT3","hsa-mir-2355-5p","hsa-mir-301b-3p",0.007,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.321473267326733,FALSE,"miR-2355-5p","miR-130-3p/301-3p/454-3p","hsa-mir-2355","hsa-mir-301b,hsa-mir-130b"
64599,"GIGYF1","hsa-mir-1266-5p","hsa-mir-125b-5p",0.0065,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.315372384937238,FALSE,"miR-1266-5p/4518","miR-125-5p","hsa-mir-1266","hsa-mir-125b-1"
65988,"ZNF747","hsa-mir-2355-3p","hsa-mir-942-5p",5e-04,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.1115,FALSE,"miR-2355-3p","miR-942-5p","hsa-mir-2355","hsa-mir-942"
79026,"AHNAK","hsa-mir-1229-3p","hsa-mir-141-3p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.321473267326733,FALSE,"miR-1229-3p","miR-141-3p/200a-3p","hsa-mir-1229","hsa-mir-200c,hsa-mir-141"
79572,"ATP13A3","hsa-mir-296-5p","hsa-mir-32-3p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase",0.315372384937238,FALSE,"miR-296-5p","miR-32-3p","hsa-mir-296,hsa-mir-298","hsa-mir-32"
79572,"ATP13A3","hsa-mir-455-5p","hsa-mir-127-5p",0.003,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.245851590106007,FALSE,"miR-455-5p","miR-127-5p","hsa-mir-455","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
79646,"PANK3","hsa-mir-106a-5p","hsa-mir-224-5p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",0.336658064516129,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-224-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-224,hsa-mir-452"
79646,"PANK3","hsa-mir-199b-5p","hsa-mir-142-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.33896,FALSE,"miR-199-5p","miR-142-5p","hsa-mir-199b,hsa-mir-3154","hsa-mir-142,hsa-mir-4736"
79776,"ZFHX4","hsa-mir-200c-3p","hsa-mir-98-5p",0.004,TRUE,NA,NA,NA,"mirtarbase","tarbase",0.266574712643678,FALSE,"miR-200bc-3p/429","let-7-5p/98-5p","hsa-mir-200c,hsa-mir-141","hsa-mir-98,hsa-let-7f-2"
79801,"SHCBP1","hsa-mir-146a-5p","hsa-mir-455-3p",0.0085,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.331314285714286,FALSE,"miR-146-5p",NA,"hsa-mir-146a","hsa-mir-455"
79832,"QSER1","hsa-mir-582-3p","hsa-mir-495-3p",0.0065,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.315372384937238,FALSE,"miR-582-3p","miR-495-3p","hsa-mir-582","hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1"
80139,"ZNF703","hsa-mir-491-5p","hsa-mir-2355-5p",5e-04,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.1115,FALSE,"miR-491-5p","miR-2355-5p","hsa-mir-491","hsa-mir-2355"
80205,"CHD9","hsa-mir-301a-3p","hsa-mir-376a-5p",0.007,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.321473267326733,FALSE,"miR-130-3p/301-3p/454-3p","miR-376a-5p","hsa-mir-301a","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
