"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-500a-5p","hsa-mir-642a-5p",5966,"REL",3559,"IL2RA",1,0.0065,0.061,0.0435,0,0
"hsa-mir-130a-3p","hsa-mir-29b-3p",6774,"STAT3",3572,"IL6ST",1,0,0.0245,0.031,5e-04,0.0275537258815702
"hsa-mir-20b-5p","hsa-mir-340-5p",6689,"SPIB",3708,"ITPR1",1,0.0075,0.034,0.3425,0,0
"hsa-mir-326","hsa-mir-34a-3p",6667,"SP1",3939,"LDHA",1,0.001,0.052,0.1405,5e-04,0.0275537258815702
"hsa-mir-130a-3p","hsa-mir-429",6667,"SP1",3949,"LDLR",1,0,0.2635,0.0115,0,0
"hsa-mir-29a-5p","hsa-mir-93-3p",3091,"HIF1A",4015,"LOX",1,5e-04,0.014,0.213,5e-04,0.0275537258815702
"hsa-mir-29b-3p","hsa-mir-616-5p",3091,"HIF1A",4170,"MCL1",1,0.001,0.5975,0.171,0,0
"hsa-mir-29b-3p","hsa-mir-301b-3p",3091,"HIF1A",4233,"MET",1,0.0025,0.5715,0.0415,0,0
"hsa-let-7g-3p","hsa-mir-93-3p",1385,"CREB1",4286,"MITF",1,0.0055,0.115,0.0135,5e-04,0.0275537258815702
"hsa-mir-29a-5p","hsa-mir-93-3p",1997,"ELF1",4299,"AFF1",1,5e-04,0.1585,0.072,5e-04,0.0275537258815702
"hsa-mir-20b-5p","hsa-mir-301b-3p",3607,"FOXK2",4335,"MNT",1,0,0.585,0.4045,5e-04,0.0275537258815702
"hsa-mir-20b-5p","hsa-mir-301b-3p",1820,"ARID3A",4335,"MNT",1,0,0.585,0.4045,5e-04,0.0275537258815702
"hsa-let-7f-5p","hsa-mir-339-5p",1874,"E2F4",4998,"ORC1",1,0,0.072,0.9455,5e-04,0.0275537258815702
"hsa-mir-19a-3p","hsa-mir-500a-5p",8202,"NCOA3",5305,"PIP4K2A",1,0.002,0.1735,0.027,0,0
"hsa-mir-19a-3p","hsa-mir-500a-5p",10320,"IKZF1",5305,"PIP4K2A",1,0.005,0.1735,0.027,0,0
"hsa-mir-33a-5p","hsa-mir-500a-5p",10320,"IKZF1",5305,"PIP4K2A",1,0.005,0.4635,0.0315,5e-04,0.0275537258815702
"hsa-mir-145-5p","hsa-mir-30a-5p",3091,"HIF1A",5315,"PKM",1,0.002,0.3915,0.0165,0,0
"hsa-mir-19a-3p","hsa-mir-362-3p",2113,"ETS1",5328,"PLAU",1,0,0.044,0.0285,0,0
"hsa-mir-20b-5p","hsa-mir-320d",27086,"FOXP1",5366,"PMAIP1",-1,0,0.145,0.4265,0.001,0.0440683692471402
"hsa-mir-192-5p","hsa-mir-301a-3p",2099,"ESR1",5468,"PPARG",1,0,0.0815,0.445,5e-04,0.0275537258815702
"hsa-mir-18a-5p","hsa-mir-96-5p",6774,"STAT3",5743,"PTGS2",1,5e-04,0.066,0.0255,0.001,0.0440683692471402
