"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-222-5p","hsa-mir-33b-5p",6667,"SP1",960,"CD44",1,0.006,0.3435,0.032,0.004,0.0122608502361767
"hsa-mir-222-5p","hsa-mir-31-5p",6667,"SP1",960,"CD44",1,0.0045,0.368,0.246,0.0085,0.0227665746750619
"hsa-mir-19b-1-5p","hsa-mir-500b-5p",2113,"ETS1",963,"CD53",1,0,0.0155,0.048,0,0
"hsa-mir-142-3p","hsa-mir-145-5p",6935,"ZEB1",999,"CDH1",-1,0,0.013,0.0355,0.0095,0.0249079785464167
"hsa-mir-144-3p","hsa-mir-145-5p",9839,"ZEB2",999,"CDH1",-1,0,0.0365,0.022,0.001,0.0037963109535772
"hsa-mir-145-5p","hsa-mir-744-3p",7020,"TFAP2A",999,"CDH1",1,0.0085,0.0205,0.0295,5e-04,0.00206526839983525
"hsa-mir-144-3p","hsa-mir-30a-5p",9839,"ZEB2",999,"CDH1",-1,0,0.031,0.134,0.0035,0.0109743199840832
"hsa-mir-142-3p","hsa-mir-145-5p",9839,"ZEB2",999,"CDH1",-1,0.0035,0.013,0.0355,0.0095,0.0249079785464167
"hsa-mir-144-3p","hsa-mir-421",9839,"ZEB2",999,"CDH1",-1,0,0.044,0.0785,5e-04,0.00206526839983525
"hsa-mir-145-5p","hsa-mir-503-5p",7020,"TFAP2A",999,"CDH1",1,0.007,0.026,0.028,5e-04,0.00206526839983525
"hsa-mir-345-5p","hsa-mir-9-5p",9839,"ZEB2",999,"CDH1",-1,0,0.022,0.042,0.006,0.0171259799736086
"hsa-mir-144-3p","hsa-mir-30a-5p",6935,"ZEB1",999,"CDH1",-1,0,0.031,0.134,0.0035,0.0109743199840832
"hsa-mir-144-3p","hsa-mir-421",6935,"ZEB1",999,"CDH1",-1,0,0.044,0.0785,5e-04,0.00206526839983525
"hsa-mir-129-5p","hsa-mir-145-5p",7020,"TFAP2A",999,"CDH1",1,0,0.0715,0.0205,0.0025,0.00828396427605955
"hsa-mir-144-3p","hsa-mir-145-5p",6935,"ZEB1",999,"CDH1",-1,0,0.0365,0.022,0.001,0.0037963109535772
"hsa-mir-18a-5p","hsa-mir-671-5p",3091,"HIF1A",1012,"CDH13",1,0.002,0.065,0.0195,0,0
"hsa-mir-320b","hsa-mir-584-5p",6886,"TAL1",1012,"CDH13",1,0,0.0105,0.0145,0.002,0.00686677317619719
"hsa-mir-155-5p","hsa-mir-484",2113,"ETS1",1012,"CDH13",1,0,0.013,0.1775,0.0025,0.00828396427605955
"hsa-mir-17-5p","hsa-mir-18a-5p",6774,"STAT3",1026,"CDKN1A",1,0,0.0195,0.096,0.0055,0.01593687781815
"hsa-mir-20a-3p","hsa-mir-548e-3p",6774,"STAT3",1026,"CDKN1A",1,0,0.504,0.0225,0.0015,0.00537950932477974
"hsa-mir-17-5p","hsa-mir-324-5p",5468,"PPARG",1026,"CDKN1A",1,0.0025,0.0105,0.6355,0,0
"hsa-mir-17-5p","hsa-mir-940",5914,"RARA",1026,"CDKN1A",1,0,0.0265,0.539,0.007,0.019426893081761
"hsa-mir-17-5p","hsa-mir-744-3p",7020,"TFAP2A",1026,"CDKN1A",1,0,0.016,0.119,0,0
"hsa-mir-17-5p","hsa-mir-26b-5p",4086,"SMAD1",1026,"CDKN1A",1,0.0055,0.029,0.1355,5e-04,0.00206526839983525
"hsa-mir-17-5p","hsa-mir-7-5p",5970,"RELA",1026,"CDKN1A",1,0.009,0.041,0.026,0.004,0.0122608502361767
"hsa-mir-17-5p","hsa-mir-26b-5p",6774,"STAT3",1026,"CDKN1A",1,0,0.029,0.1355,5e-04,0.00206526839983525
"hsa-mir-182-5p","hsa-mir-335-5p",5468,"PPARG",1026,"CDKN1A",1,0,0.0125,0.664,0.002,0.00686677317619719
"hsa-mir-17-5p","hsa-mir-940",6774,"STAT3",1026,"CDKN1A",1,0,0.0265,0.539,0.007,0.019426893081761
"hsa-mir-17-5p","hsa-mir-18a-5p",4088,"SMAD3",1026,"CDKN1A",1,0,0.0195,0.096,0.0055,0.01593687781815
"hsa-mir-17-5p","hsa-mir-7-5p",4088,"SMAD3",1026,"CDKN1A",1,0,0.041,0.026,0.004,0.0122608502361767
"hsa-mir-182-5p","hsa-mir-335-5p",6774,"STAT3",1026,"CDKN1A",1,0,0.0125,0.664,0.002,0.00686677317619719
"hsa-mir-17-5p","hsa-mir-484",1958,"EGR1",1026,"CDKN1A",1,0.006,0.0175,0.376,0.005,0.014740642092323
"hsa-mir-182-5p","hsa-mir-335-5p",7020,"TFAP2A",1026,"CDKN1A",1,0,0.0125,0.664,0.002,0.00686677317619719
"hsa-mir-200c-3p","hsa-mir-505-5p",9314,"KLF4",1026,"CDKN1A",1,0.0065,0.0125,0.609,0,0
"hsa-mir-17-5p","hsa-mir-26b-5p",7020,"TFAP2A",1026,"CDKN1A",1,0,0.029,0.1355,5e-04,0.00206526839983525
"hsa-mir-17-5p","hsa-mir-484",7020,"TFAP2A",1026,"CDKN1A",1,0,0.0175,0.376,0.005,0.014740642092323
"hsa-mir-17-5p","hsa-mir-425-5p",4086,"SMAD1",1026,"CDKN1A",1,0.007,0.047,0.192,0.001,0.0037963109535772
"hsa-mir-196a-5p","hsa-mir-2110",6774,"STAT3",1026,"CDKN1A",1,0.0085,0.159,0.501,0.006,0.0171259799736086
"hsa-mir-1-3p","hsa-mir-335-5p",27086,"FOXP1",1026,"CDKN1A",-1,0,0.3435,0.756,0.001,0.0037963109535772
"hsa-mir-17-5p","hsa-mir-20a-3p",6774,"STAT3",1026,"CDKN1A",1,0,0.0285,0.526,0,0
"hsa-mir-182-5p","hsa-mir-335-5p",5914,"RARA",1026,"CDKN1A",1,0,0.0125,0.664,0.002,0.00686677317619719
"hsa-mir-200b-3p","hsa-mir-93-3p",9314,"KLF4",1026,"CDKN1A",1,5e-04,0.1775,0.6055,0.006,0.0171259799736086
"hsa-mir-224-5p","hsa-mir-548b-3p",4297,"KMT2A",1027,"CDKN1B",1,0.004,0.0895,0.9245,0.004,0.0122608502361767
"hsa-mir-194-5p","hsa-mir-335-5p",4303,"FOXO4",1027,"CDKN1B",1,0.001,0.03,0.017,0.004,0.0122608502361767
"hsa-mir-141-5p","hsa-mir-148b-5p",2113,"ETS1",1027,"CDKN1B",1,0,0.066,0.016,0.0035,0.0109743199840832
"hsa-mir-148a-5p","hsa-mir-548v",4297,"KMT2A",1027,"CDKN1B",1,0.0035,0.0525,0.7115,0.002,0.00686677317619719
"hsa-mir-1301-3p","hsa-mir-192-5p",4297,"KMT2A",1027,"CDKN1B",1,0,0.071,0.0155,0.0065,0.0182793030488427
"hsa-mir-155-5p","hsa-mir-362-3p",2113,"ETS1",1027,"CDKN1B",1,0,0.012,0.0125,0.001,0.0037963109535772
"hsa-mir-221-5p","hsa-mir-629-3p",4297,"KMT2A",1027,"CDKN1B",1,5e-04,0.11,0.023,0.003,0.00965021772092842
"hsa-mir-200b-3p","hsa-mir-219a-1-3p",2113,"ETS1",1027,"CDKN1B",1,0,0.014,0.572,0.009,0.023840869252011
"hsa-mir-18a-3p","hsa-mir-192-5p",4297,"KMT2A",1027,"CDKN1B",1,0,0.0105,0.02,0.0015,0.00537950932477974
"hsa-mir-200b-3p","hsa-mir-484",2113,"ETS1",1027,"CDKN1B",1,0,0.015,0.033,0.002,0.00686677317619719
"hsa-mir-192-5p","hsa-mir-200c-3p",4297,"KMT2A",1027,"CDKN1B",1,0,0.0105,0.031,0.001,0.0037963109535772
"hsa-mir-92a-1-5p","hsa-mir-942-5p",7157,"TP53",1027,"CDKN1B",1,0,0.1155,0.0315,0,0
"hsa-mir-219a-1-3p","hsa-mir-224-5p",2113,"ETS1",1027,"CDKN1B",1,0,0.704,0.123,0.0085,0.0227665746750619
"hsa-mir-1301-3p","hsa-mir-142-5p",4297,"KMT2A",1027,"CDKN1B",1,0,0.062,0.068,0.0015,0.00537950932477974
"hsa-mir-130b-5p","hsa-mir-942-5p",4297,"KMT2A",1027,"CDKN1B",1,0,0.0315,0.0205,5e-04,0.00206526839983525
"hsa-mir-219a-5p","hsa-mir-548v",4297,"KMT2A",1027,"CDKN1B",1,0.001,0.067,0.7485,0.0075,0.0205637965601803
"hsa-mir-141-5p","hsa-mir-940",7157,"TP53",1027,"CDKN1B",1,0,0.0415,0.075,0.0025,0.00828396427605955
"hsa-mir-1301-3p","hsa-mir-34a-3p",4297,"KMT2A",1027,"CDKN1B",1,5e-04,0.0505,0.249,0.005,0.014740642092323
"hsa-mir-324-5p","hsa-mir-335-3p",2113,"ETS1",1027,"CDKN1B",1,0,0.094,0.049,5e-04,0.00206526839983525
