miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-744-3p,hsa-mir-92b-3p,1997,6867,1,0.0,0.245,0.0105,0.005,True,0.031594345308282895
hsa-mir-1301-3p,hsa-mir-19b-3p,1997,7764,1,0.0,0.145,0.0105,0.003,True,0.021789735248938284
hsa-mir-1301-3p,hsa-mir-130a-3p,1997,80205,1,0.0,0.3085,0.048,0.008,True,0.0439557975802593
hsa-mir-1301-3p,hsa-mir-19b-3p,1997,80205,1,0.0,0.3135,0.0415,0.003,True,0.021789735248938284
hsa-mir-130b-3p,hsa-mir-93-3p,1997,80205,1,0.0,0.321,0.032,0.005,True,0.031594345308282895
hsa-mir-197-3p,hsa-mir-301a-3p,1997,80205,1,0.0015,0.072,0.153,0.005,True,0.031594345308282895
hsa-mir-19b-3p,hsa-mir-93-3p,1997,80205,1,0.001,0.0535,0.0295,0.0065,True,0.038037650456222094
hsa-mir-192-5p,hsa-mir-93-3p,2005,151011,1,0.0,0.4545,0.1775,0.0,True,0.0
hsa-mir-1301-3p,hsa-mir-20a-3p,2005,9169,1,0.0025,0.046,0.065,0.0,True,0.0
hsa-mir-1301-3p,hsa-mir-590-3p,2005,9169,1,0.0025,0.0855,0.011,0.0,True,0.0
hsa-mir-224-5p,hsa-mir-363-3p,2005,9169,1,0.003,0.0535,0.0805,0.002,True,0.01614697512471124
hsa-mir-30b-3p,hsa-mir-582-5p,2034,2321,1,0.0015,0.083,0.83,0.0065,True,0.038037650456222094
hsa-mir-126-5p,hsa-mir-30c-2-3p,2063,114884,-1,0.0,0.487,0.976,0.0,True,0.0
hsa-mir-125b-2-3p,hsa-mir-200a-3p,2063,3516,-1,0.0005,0.116,0.2215,0.0055,True,0.03380249509391646
hsa-mir-125b-2-3p,hsa-mir-20b-5p,2063,4299,-1,0.0,0.084,0.681,0.0095,True,0.04951041689178967
hsa-mir-142-3p,hsa-mir-342-5p,2063,84159,-1,0.0,0.1285,0.406,0.0005,True,0.005303897417850702
hsa-mir-766-3p,hsa-mir-769-3p,2063,8844,-1,0.0,0.191,0.0245,0.0015,True,0.012953285586392123
hsa-mir-142-3p,hsa-mir-142-5p,2099,10693,1,0.0,0.022,0.0205,0.0,True,0.0
hsa-mir-142-5p,hsa-mir-19b-3p,2099,10693,1,0.0,0.025,0.021,0.0025,True,0.019049150025278058
hsa-mir-454-3p,hsa-mir-940,2099,1950,1,0.0,0.0135,0.3245,0.005,True,0.031594345308282895
hsa-mir-142-3p,hsa-mir-942-5p,2099,23509,1,0.0,0.1165,0.0355,0.0085,True,0.0458423612819538
hsa-mir-335-3p,hsa-mir-942-5p,2099,23509,1,0.0,0.0395,0.0505,0.009,True,0.047699406593406594
hsa-mir-130a-3p,hsa-mir-130b-5p,2099,4193,1,0.0,0.106,0.0245,0.0055,True,0.03380249509391646
hsa-mir-130a-3p,hsa-mir-212-3p,2099,4193,1,0.0,0.071,0.0885,0.004,True,0.02688072678631145
hsa-mir-130a-3p,hsa-mir-222-3p,2099,4193,1,0.0,0.1015,0.474,0.004,True,0.02688072678631145
hsa-mir-106a-5p,hsa-mir-454-3p,2099,463,1,0.0,0.1215,0.014,0.007,True,0.040059542455740664
hsa-mir-130a-3p,hsa-mir-142-3p,2099,463,1,0.0,0.014,0.0155,0.001,True,0.009403275492298694
hsa-mir-192-5p,hsa-mir-92b-3p,2099,463,1,0.0,0.0375,0.017,0.0065,True,0.038037650456222094
hsa-mir-27a-5p,hsa-mir-335-3p,2099,463,1,0.0,0.1405,0.272,0.0005,True,0.005303897417850702
hsa-mir-192-5p,hsa-mir-320b,2099,5087,1,0.0,0.7125,0.031,0.0035,True,0.02440194576153579
hsa-mir-301a-3p,hsa-mir-324-5p,2099,5087,1,0.0,0.044,0.012,0.0005,True,0.005303897417850702
hsa-mir-192-5p,hsa-mir-193b-3p,2099,5793,1,0.0,0.026,0.3385,0.0005,True,0.005303897417850702
hsa-mir-192-5p,hsa-mir-642a-5p,2099,5793,1,0.0,0.014,0.316,0.0045,True,0.02926225595944342
hsa-mir-127-5p,hsa-mir-145-5p,2099,595,1,0.005,0.016,0.06,0.0065,True,0.038037650456222094
hsa-mir-136-5p,hsa-mir-193b-3p,2099,596,1,0.009,0.0635,0.0615,0.006,True,0.035958992966672466
hsa-mir-222-3p,hsa-mir-324-5p,2099,6667,1,0.0,0.025,0.046,0.0005,True,0.005303897417850702
hsa-mir-19a-3p,hsa-mir-222-3p,2099,6670,1,0.0,0.019,0.33,0.0035,True,0.02440194576153579
hsa-mir-222-3p,hsa-mir-33a-5p,2099,8648,1,0.0,0.46,0.035,0.0025,True,0.019049150025278058
hsa-mir-33a-5p,hsa-mir-378a-3p,2099,8648,1,0.0,0.031,0.0215,0.008,True,0.0439557975802593
hsa-mir-33a-5p,hsa-mir-454-3p,2099,8648,1,0.0,0.0225,0.0195,0.003,True,0.021789735248938284
hsa-mir-19a-3p,hsa-mir-26b-3p,2099,9825,1,0.0,0.1075,0.0635,0.007,True,0.040059542455740664
hsa-mir-31-3p,hsa-mir-324-5p,2113,1012,1,0.0,0.0375,0.016,0.0075,True,0.04202729237347214
hsa-mir-126-5p,hsa-mir-183-5p,2113,1508,1,0.0,0.13,0.0345,0.001,True,0.009403275492298694
hsa-mir-222-3p,hsa-mir-324-5p,2113,2321,1,0.0,0.0115,0.18,0.0015,True,0.012953285586392123
hsa-mir-193b-3p,hsa-mir-331-3p,2113,3371,1,0.0,0.5185,0.32,0.0005,True,0.005303897417850702
hsa-mir-193b-3p,hsa-mir-484,2113,3371,1,0.0,0.526,0.2295,0.0,True,0.0
hsa-mir-149-5p,hsa-mir-331-3p,2113,356,1,0.0,0.0855,0.117,0.0095,True,0.04951041689178967
hsa-mir-193b-3p,hsa-mir-326,2113,4313,1,0.0,0.047,0.081,0.007,True,0.040059542455740664
