"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-302a-5p","hsa-mir-525-5p",3172,"HNF4A",1582,"CYP8B1",1,0,0.082,0.016,0,0
"hsa-mir-124-3p","hsa-mir-499a-3p",2308,"FOXO1",1612,"DAPK1",1,0,0.053,0.558,0.009,0.0328166173832954
"hsa-mir-452-5p","hsa-mir-7-5p",2308,"FOXO1",1612,"DAPK1",1,0.002,0.056,0.462,5e-04,0.00327524746727045
"hsa-mir-196b-5p","hsa-mir-429",4609,"MYC",1676,"DFFA",1,0,0.164,0.046,0.003,0.014138677137069
"hsa-mir-196b-5p","hsa-mir-424-5p",4609,"MYC",1676,"DFFA",1,0,0.1195,0.0515,5e-04,0.00327524746727045
"hsa-mir-155-5p","hsa-mir-29b-3p",6938,"TCF12",1808,"DPYSL2",1,0,0.13,0.378,5e-04,0.00327524746727045
"hsa-mir-155-5p","hsa-mir-29a-3p",6938,"TCF12",1808,"DPYSL2",1,0,0.1155,0.2135,0.0015,0.00818926765538431
"hsa-mir-155-5p","hsa-mir-29c-3p",6938,"TCF12",1808,"DPYSL2",1,0,0.12,0.219,0.002,0.0102974354294059
"hsa-mir-1179","hsa-mir-302c-3p",2099,"ESR1",1831,"TSC22D3",1,0,0.5925,0.019,0.006,0.0241216461785142
"hsa-mir-29c-3p","hsa-mir-302d-3p",2099,"ESR1",1831,"TSC22D3",1,0,0.0325,0.013,5e-04,0.00327524746727045
"hsa-mir-18b-5p","hsa-mir-302c-3p",2099,"ESR1",1831,"TSC22D3",1,5e-04,0.0885,0.0165,0,0
"hsa-mir-1226-3p","hsa-mir-582-3p",1869,"E2F1",1871,"E2F3",1,0,0.1255,0.0105,0,0
"hsa-mir-155-5p","hsa-mir-377-3p",2113,"ETS1",1889,"ECE1",1,0.0015,0.076,0.389,0.0095,0.0341758891705326
"hsa-mir-142-3p","hsa-mir-499a-3p",144455,"E2F7",1915,"EEF1A1",1,0,0.4445,0.9715,0.0065,0.0256366798336072
"hsa-mir-296-3p","hsa-mir-302b-3p",7020,"TFAP2A",1956,"EGFR",1,0,0.011,0.0115,0.001,0.00587513343226847
"hsa-mir-296-3p","hsa-mir-671-3p",7020,"TFAP2A",1956,"EGFR",1,0,0.015,0.4585,5e-04,0.00327524746727045
"hsa-mir-124-3p","hsa-mir-34c-3p",2005,"ELK4",1958,"EGR1",1,0.0095,0.032,0.0115,0.001,0.00587513343226847
"hsa-mir-518f-3p","hsa-mir-526b-3p",2005,"ELK4",1958,"EGR1",1,5e-04,0.014,0.035,0.006,0.0241216461785142
"hsa-mir-124-3p","hsa-mir-526b-3p",2005,"ELK4",1958,"EGR1",1,0.009,0.05,0.0615,0.002,0.0102974354294059
"hsa-mir-518f-3p","hsa-mir-520d-3p",2005,"ELK4",1958,"EGR1",1,0,0.0125,0.0605,0.002,0.0102974354294059
"hsa-mir-520d-3p","hsa-mir-520d-5p",2005,"ELK4",1958,"EGR1",1,5e-04,0.06,0.026,0.0075,0.0285850490651443
"hsa-mir-518f-3p","hsa-mir-632",2113,"ETS1",1958,"EGR1",1,0.0015,0.02,0.0535,0.0065,0.0256366798336072
"hsa-mir-494-3p","hsa-mir-760",2005,"ELK4",1958,"EGR1",1,5e-04,0.623,0.433,0.0075,0.0285850490651443
"hsa-mir-516b-5p","hsa-mir-520d-5p",2005,"ELK4",1958,"EGR1",1,0,0.029,0.0285,0.008,0.0300356715027286
"hsa-mir-518a-5p","hsa-mir-520d-5p",2005,"ELK4",1958,"EGR1",1,0.0015,0.0345,0.0325,0.004,0.0176830639631698
"hsa-mir-520d-5p","hsa-mir-632",2113,"ETS1",1958,"EGR1",1,0,0.044,0.03,0.009,0.0328166173832954
"hsa-mir-200c-3p","hsa-mir-520d-5p",2113,"ETS1",1958,"EGR1",1,0.0075,0.629,0.064,5e-04,0.00327524746727045
"hsa-mir-192-5p","hsa-mir-516b-5p",2005,"ELK4",1958,"EGR1",1,0.0095,0.8415,0.087,0.001,0.00587513343226847
"hsa-mir-518a-3p","hsa-mir-520h",2005,"ELK4",1958,"EGR1",1,0,0.033,0.0115,0,0
"hsa-mir-516b-5p","hsa-mir-518f-3p",2005,"ELK4",1958,"EGR1",1,0,0.068,0.014,0.0045,0.0193509604390578
"hsa-mir-518a-3p","hsa-mir-520d-3p",2005,"ELK4",1958,"EGR1",1,0.003,0.032,0.052,0.0035,0.0159504604572259
"hsa-mir-518a-3p","hsa-mir-518a-5p",2005,"ELK4",1958,"EGR1",1,0,0.058,0.0435,0.0035,0.0159504604572259
"hsa-mir-520d-5p","hsa-mir-526b-3p",2005,"ELK4",1958,"EGR1",1,0.001,0.036,0.038,0.0065,0.0256366798336072
"hsa-mir-518b","hsa-mir-632",2113,"ETS1",1958,"EGR1",1,0.001,0.013,0.0555,0.001,0.00587513343226847
"hsa-mir-518a-3p","hsa-mir-632",2113,"ETS1",1958,"EGR1",1,0.0015,0.0375,0.0475,0.001,0.00587513343226847
"hsa-mir-200c-3p","hsa-mir-520d-5p",2005,"ELK4",1958,"EGR1",1,0,0.629,0.064,5e-04,0.00327524746727045
"hsa-mir-518a-3p","hsa-mir-526b-3p",2005,"ELK4",1958,"EGR1",1,0,0.0265,0.0485,0.0045,0.0193509604390578
"hsa-mir-424-5p","hsa-mir-497-5p",4609,"MYC",1977,"EIF4E",1,0.0015,0.4525,0.012,0.007,0.0271218900774369
"hsa-mir-124-5p","hsa-mir-629-5p",4790,"NFKB1",1999,"ELF3",1,5e-04,0.0675,0.012,0.007,0.0271218900774369
"hsa-mir-135a-5p","hsa-mir-519c-3p",2101,"ESRRA",2011,"MARK2",1,0,0.045,0.0295,0.009,0.0328166173832954
"hsa-mir-135a-5p","hsa-mir-338-3p",2101,"ESRRA",2011,"MARK2",1,0,0.043,0.015,0.0015,0.00818926765538431
"hsa-mir-760","hsa-mir-99a-5p",4150,"MAZ",2011,"MARK2",1,0.007,0.1335,0.0145,0.002,0.0102974354294059
"hsa-mir-183-5p","hsa-mir-200a-3p",27086,"FOXP1",2058,"EPRS1",-1,0,0.0195,0.016,5e-04,0.00327524746727045
"hsa-mir-152-3p","hsa-mir-29a-3p",27086,"FOXP1",2058,"EPRS1",-1,0,0.0125,0.0305,0.0065,0.0256366798336072
"hsa-mir-766-3p","hsa-mir-9-5p",26959,"HBP1",2067,"ERCC1",-1,0,0.0555,0.067,5e-04,0.00327524746727045
"hsa-mir-766-3p","hsa-mir-9-3p",51621,"KLF13",2067,"ERCC1",-1,0.004,0.048,0.1625,0.003,0.014138677137069
"hsa-mir-182-5p","hsa-mir-296-3p",2309,"FOXO3",2099,"ESR1",1,0,0.501,0.081,0.009,0.0328166173832954
"hsa-mir-214-3p","hsa-mir-301b-3p",6774,"STAT3",2099,"ESR1",1,0,0.78,0.024,0.005,0.0209836339966524
"hsa-mir-182-5p","hsa-mir-629-3p",2309,"FOXO3",2099,"ESR1",1,0,0.5285,0.0735,0,0
"hsa-mir-629-3p","hsa-mir-9-5p",2309,"FOXO3",2099,"ESR1",1,0,0.134,0.2115,0.001,0.00587513343226847
"hsa-mir-182-5p","hsa-mir-18a-3p",2309,"FOXO3",2099,"ESR1",1,0,0.499,0.0125,0,0
"hsa-mir-18a-3p","hsa-mir-9-5p",2309,"FOXO3",2099,"ESR1",1,0,0.0165,0.205,0.0015,0.00818926765538431
"hsa-mir-372-3p","hsa-mir-9-3p",405,"ARNT",2099,"ESR1",1,0,0.041,0.115,0.008,0.0300356715027286
"hsa-mir-223-5p","hsa-mir-302d-3p",860,"RUNX2",2113,"ETS1",1,0.009,0.08,0.0105,0.0075,0.0285850490651443
