source,target,ModeOfRegulation,edgeType
mir-301b-3p,mir-301b-3p/mir-34b-3p,"",direct
mir-582-5p,mir-582-5p/mir-887-3p,"",direct
mir-200a-3p,mir-200a-3p/mir-301a-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-20b-3p,"",direct
mir-181d-5p,mir-181d-5p/mir-301b-3p,"",direct
mir-200a-3p,mir-200a-3p/mir-20b-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-429,"",direct
mir-135a-5p,mir-135a-5p/mir-493-5p,"",direct
mir-18b-5p,mir-18b-5p/mir-887-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-20b-5p,"",direct
mir-200a-3p,mir-200a-3p/mir-20b-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-301a-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-582-5p,"",direct
mir-301a-3p,mir-301a-3p/mir-338-3p,"",direct
mir-301b-3p,mir-301b-3p/mir-338-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-887-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-302c-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302d-3p,"",direct
mir-302b-3p,mir-302b-3p/mir-520a-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-302a-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-302c-3p,"",direct
mir-373-3p,mir-373-3p/mir-378a-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-20b-5p,"",direct
mir-302b-3p,mir-302b-3p/mir-302d-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-302d-3p,"",direct
mir-302b-3p,mir-302b-3p/mir-302c-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302b-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302c-3p,"",direct
mir-1271-5p,mir-1271-5p/mir-302d-5p,"",direct
mir-142-3p,mir-142-3p/mir-302b-5p,"",direct
mir-142-3p,mir-142-3p/mir-302d-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-519d-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-302b-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-302b-5p,"",direct
mir-181a-2-3p,mir-181a-2-3p/mir-302b-5p,"",direct
mir-7-5p,mir-7-5p/mir-873-5p,"",direct
mir-629-5p,mir-629-5p/mir-96-5p,"",direct
mir-302a-3p,mir-302a-3p/mir-302d-3p,"",direct
mir-302b-3p,mir-302b-3p/mir-302d-3p,"",direct
mir-367-3p,mir-367-3p/mir-519d-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-302d-3p,"",direct
mir-302b-3p,mir-302b-3p/mir-302c-3p,"",direct
mir-302b-5p,mir-302b-5p/mir-526b-5p,"",direct
mir-302a-3p,mir-302a-3p/mir-302c-3p,"",direct
mir-302b-5p,mir-302b-5p/mir-519d-3p,"",direct
mir-367-3p,mir-367-3p/mir-526b-5p,"",direct
mir-512-3p,mir-512-3p/mir-512-5p,"",direct
mir-182-5p,mir-182-5p/mir-548o-3p,"",direct
mir-192-5p,mir-192-5p/mir-25-5p,"",direct
mir-192-5p,mir-192-5p/mir-195-3p,"",direct
mir-223-5p,mir-223-5p/mir-526b-5p,"",direct
mir-512-3p,mir-512-3p/mir-512-5p,"",direct
mir-512-5p,mir-512-5p/mir-526b-5p,"",direct
mir-519d-3p,mir-519d-3p/mir-526b-5p,"",direct
mir-512-3p,mir-512-3p/mir-519d-3p,"",direct
mir-512-5p,mir-512-5p/mir-519d-3p,"",direct
mir-223-5p,mir-223-5p/mir-512-5p,"",direct
mir-223-5p,mir-223-5p/mir-519d-3p,"",direct
mir-377-5p,mir-377-5p/mir-485-5p,"",direct
