source,target,ModeOfRegulation,edgeType
mir-329-3p,mir-329-3p/mir-377-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-185-3p,"",direct
mir-31-5p,mir-31-5p/mir-7-5p,"",direct
mir-107,mir-107/mir-299-5p,"",direct
mir-107,mir-107/mir-126-5p,"",direct
mir-107,mir-107/mir-7-5p,"",direct
mir-127-5p,mir-127-5p/mir-329-3p,"",direct
mir-124-3p,mir-124-3p/mir-7-5p,"",direct
mir-7-5p,mir-7-5p/mir-766-3p,"",direct
mir-124-3p,mir-124-3p/mir-369-3p,"",direct
mir-410-3p,mir-410-3p/mir-7-5p,"",direct
mir-107,mir-107/mir-127-5p,"",direct
