"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
3091,"HIF1A","hsa-mir-17-5p","hsa-mir-935",0.044,0.9835,0.0055,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/16510175'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17341889'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17342330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17404022'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17418979'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17532031'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19819950'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22711307'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24042437'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24918449'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25556481'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25750101'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25884381'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26469226'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27180053'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30539847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31220580'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31411527'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31819628'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase  "
3106,"HLA-B","hsa-mir-133a-3p","hsa-mir-133b",0.068,0.1455,0.0045,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/16206270'>PubMedLink</a>"," tarbase "," tarbase "
3198,"HOXA1","hsa-let-7b-5p","hsa-mir-210-3p",0.065,0.558,5e-04,TRUE,"NA","NA","NA"," tarbase ","mirtarbase  "
3205,"HOXA9","hsa-mir-210-3p","hsa-mir-744-5p",0.0565,0.68,5e-04,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/26522113'>PubMedLink</a>","mirtarbase  "," tarbase "
3304,"HSPA1B","hsa-mir-502-5p","hsa-mir-424-5p",0.083,0.0285,0.002,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
3304,"HSPA1B","hsa-mir-502-5p","hsa-mir-532-5p",0.0845,0.0195,0.002,FALSE,"NA","NA","NA"," tarbase "," tarbase "
3344,"FOXN2","hsa-mir-92b-3p","hsa-mir-769-3p",0.055,0.2055,0.0095,TRUE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
3400,"ID4","hsa-mir-424-5p","hsa-mir-548f-3p",0.031,0.159,0.009,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
3455,"IFNAR2","hsa-mir-130a-3p","hsa-mir-20a-5p",0.981,0.4255,0.001,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
3655,"ITGA6","hsa-mir-200a-3p","hsa-mir-92b-3p",0.022,0.382,0.002,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
3659,"IRF1","hsa-mir-17-5p","hsa-mir-301b-3p",0.094,0.152,0.0015,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/14599866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19075038'>PubMedLink</a>"," tarbase ","mirtarbase tarbase "
3659,"IRF1","hsa-mir-20a-5p","hsa-mir-301b-3p",0.106,0.1325,0.001,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/14599866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19075038'>PubMedLink</a>"," tarbase ","mirtarbase tarbase "
3659,"IRF1","hsa-mir-20b-3p","hsa-mir-301b-3p",0.24,0.1475,0.002,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/14599866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19075038'>PubMedLink</a>","mirtarbase  ","mirtarbase tarbase "
3659,"IRF1","hsa-mir-363-3p","hsa-mir-301b-3p",0.114,0.29,0.008,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/14599866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19075038'>PubMedLink</a>"," tarbase ","mirtarbase tarbase "
3675,"ITGA3","hsa-mir-199b-5p","hsa-mir-199a-3p",0.011,0.011,0.009,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
